,Quarter,Tm,Detail,GNB,TAM
0,1.0,Buccaneers,Bill Capece 47 yard field goal,0,3
1,2.0,Buccaneers,Cedric Brown 81 yard interception return (Bill Capece kick),0,10
2,2.0,Buccaneers,James Owens 35 yard rush (Bill Capece kick),0,17
3,2.0,Buccaneers,Theo Bell 7 yard pass from Doug Williams (Bill Capece kick),0,24
4,2.0,Buccaneers,Bill Capece 33 yard field goal,0,27
5,4.0,Buccaneers,Bill Capece 51 yard field goal,0,30
6,4.0,Packers,Jan Stenerud 53 yard field goal,3,30
7,4.0,Buccaneers,Jimmie Giles 2 yard pass from Chuck Fusina (Bill Capece kick),3,37
