,Quarter,Time,Tm,Detail,CIN,BUF
0,1.0,,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),0,7
1,2.0,,Bills,Jim Kelly 1 yard rush (Steve Christie kick),0,14
2,2.0,,Bengals,Ashley Ambrose 31 yard interception return (Doug Pelfrey kick),7,14
3,2.0,,Bills,David White 12 yard defensive fumble return (Steve Christie kick),7,21
4,2.0,,Bills,Steve Christie 22 yard field goal,7,24
5,3.0,,Bills,Steve Tasker 22 yard pass from Jim Kelly (Steve Christie kick),7,31
6,4.0,,Bengals,Ki-Jana Carter 1 yard rush (Doug Pelfrey kick),14,31
7,4.0,,Bengals,Doug Pelfrey 30 yard field goal,17,31
