,Quarter,Tm,Detail,SFO,WAS
0,1.0,49ers,Paul Hofer 2 yard rush (Ray Wersching kick),7,0
1,2.0,49ers,Ray Wersching 29 yard field goal,10,0
2,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),10,7
3,2.0,Redskins,Danny Buggs 50 yard pass from Billy Kilmer (Mark Moseley kick),10,14
4,2.0,49ers,Ray Wersching 35 yard field goal,13,14
5,3.0,Redskins,John McDaniel 17 yard pass from Billy Kilmer (Mark Moseley kick),13,21
6,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),13,28
7,4.0,Redskins,Tony Green 5 yard rush (Mark Moseley kick),13,35
8,4.0,49ers,Greg Boykin 2 yard rush (Ray Wersching kick),20,35
9,4.0,Redskins,Mark Moseley 26 yard field goal,20,38
