,Quarter,Tm,Detail,CLE,NYY
0,1.0,Yankees,Wild Bill Kelly 20 yard rush,0,6
1,1.0,Yankees,Eddie Tryon fumble recovery in end zone (Eddie Tryon kick),0,13
2,1.0,Bulldogs,Al Bloodgood unknown yard rush (Benny Friedman kick),7,13
3,2.0,Bulldogs,Jim Simmons unknown yard rush (Al Bloodgood kick),14,13
4,3.0,Bulldogs,"Safety,",16,13
5,4.0,Bulldogs,Al Bloodgood unknown yard rush (Al Bloodgood kick),23,13
6,4.0,Bulldogs,Al Bloodgood unknown yard rush (Al Bloodgood kick),30,13
7,4.0,Yankees,Wes Fry unknown yard rush,30,19
