,Quarter,Tm,Detail,KAN,BUF
0,1.0,Bills,Thurman Thomas 12 yard rush (Steve Christie kick),0,7
1,1.0,Chiefs,Nick Lowery 31 yard field goal,3,7
2,1.0,Chiefs,Nick Lowery 31 yard field goal,6,7
3,2.0,Bills,Thurman Thomas 3 yard rush (Steve Christie kick),6,14
4,2.0,Bills,Steve Christie 23 yard field goal,6,17
5,2.0,Bills,Steve Christie 25 yard field goal,6,20
6,3.0,Chiefs,Marcus Allen 1 yard rush (Nick Lowery kick),13,20
7,4.0,Bills,Steve Christie 18 yard field goal,13,23
8,4.0,Bills,Thurman Thomas 3 yard rush (Steve Christie kick),13,30
