,Quarter,Tm,Detail,PHI,ATL
0,1.0,Eagles,Paul McFadden 20 yard field goal,3,0
1,1.0,Falcons,Mick Luckhurst 38 yard field goal,3,3
2,2.0,Falcons,Mick Luckhurst 29 yard field goal,3,6
3,2.0,Falcons,Arthur Cox 16 yard pass from David Archer (Mick Luckhurst kick),3,13
4,3.0,Falcons,Gerald Riggs 2 yard rush (Mick Luckhurst kick),3,20
5,3.0,Eagles,Mike Quick 15 yard pass from Joe Pisarcik (Paul McFadden kick),10,20
6,4.0,Falcons,Mick Luckhurst 27 yard field goal,10,23
7,4.0,Falcons,Mick Luckhurst 34 yard field goal,10,26
