,Quarter,Tm,Detail,NYG,BKN
0,2.0,Dodgers,Stumpy Thomason 25 yard pass from Benny Friedman (Benny Friedman kick),0,7
1,4.0,Giants,Ray Flaherty 3 yard pass from Jack McBride,6,7
2,4.0,Giants,Ray Flaherty 13 yard pass from Jack McBride (Ray Flaherty kick),13,7
