,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Sherman Smith 64 yard pass from Jim Zorn,0,6
1,1.0,Chargers,John Jefferson 29 yard pass from Dan Fouts (Rolf Benirschke kick),7,6
2,2.0,Chargers,Rolf Benirschke 18 yard field goal,10,6
3,2.0,Seahawks,Jim Zorn 23 yard rush (Efren Herrera kick),10,13
4,3.0,Chargers,John Jefferson 6 yard pass from Dan Fouts (Rolf Benirschke kick),17,13
5,4.0,Chargers,Gary Johnson 52 yard interception return (Rolf Benirschke kick),24,13
6,4.0,Seahawks,Steve Largent 33 yard pass from Jim Zorn (Efren Herrera kick),24,20
