,Quarter,Tm,Detail,CAN,NYG
0,3,Giants,Hinkey Haines 1 yard rush (Paul Hogan kick),0,7
1,4,Bulldogs,Stan Robb 50 yard pass from Dick Vick (Harry Robb kick),7,7
