,Quarter,Tm,Detail,SDG,BOS
0,1.0,Patriots,Carl Garrett 7 yard pass from Mike Taliaferro (Gino Cappelletti kick),0,7
1,2.0,Chargers,Dennis Partee 12 yard field goal,3,7
2,3.0,Chargers,Dennis Partee 28 yard field goal,6,7
3,4.0,Chargers,John Hadl 6 yard rush (Dennis Partee kick),13,7
4,4.0,Patriots,Gino Cappelletti 32 yard field goal,13,10
