,Quarter,Tm,Detail,CRD,BOS
0,1.0,Cardinals,Billy Dewell 14 yard pass from Paul Christman (Ward Cuff kick),7,0
1,2.0,Cardinals,Pat Harder 14 yard pass from Ray Mallouf (Ward Cuff kick),14,0
2,3.0,Cardinals,Bill Blackburn 52 yard pass from Ray Mallouf (Ward Cuff kick),21,0
3,3.0,Yanks,Nick Scollard 19 yard pass from Boley Dancewicz (Nick Scollard kick),21,7
4,4.0,Cardinals,Jimmy Strausbaugh 18 yard rush (Ward Cuff kick),28,7
5,4.0,Yanks,Don Currivan 1 yard pass from Paul Governali (Nick Scollard kick),28,14
