,Quarter,Time,Tm,Detail,SEA,WAS
0,1.0,10:26,Redskins,Walter Rasby 7 yard pass from Tony Banks (Brett Conway kick),0,7
1,1.0,7:02,Seahawks,Shaun Alexander 41 yard rush (Rian Lindell kick),7,7
2,1.0,1:52,Redskins,Brett Conway 43 yard field goal,7,10
3,2.0,14:51,Redskins,Brett Conway 23 yard field goal,7,13
4,2.0,5:29,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),7,20
5,3.0,7:56,Redskins,Michael Westbrook 13 yard pass from Tony Banks (Brett Conway kick),7,27
6,3.0,2:09,Seahawks,Darrell Jackson 46 yard pass from Trent Dilfer (Rian Lindell kick),14,27
