,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,9:42,Jets,Jamison Crowder 12 yard pass from Sam Darnold (Sam Ficken kick),7,0
1,2.0,14:52,Dolphins,Preston Williams 12 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,7
2,2.0,6:19,Dolphins,DeVante Parker 17 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,14
3,2.0,1:54,Dolphins,Preston Williams 5 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,21
4,2.0,0:48,Jets,"Safety, Ryan Fitzpatrick tackled in end zone by James Burgess Jr.",9,21
5,2.0,0:06,Jets,Sam Ficken 52 yard field goal,12,21
6,3.0,6:52,Jets,Sam Ficken 40 yard field goal,15,21
7,3.0,1:05,Dolphins,Jason Sanders 26 yard field goal,15,24
8,4.0,6:33,Dolphins,"Safety, fumble out of bounds in end zone",15,26
9,4.0,0:19,Jets,Sam Ficken 29 yard field goal,18,26
