,Quarter,Tm,Detail,NOR,NYJ
0,1.0,Saints,Morten Andersen 26 yard field goal,3,0
1,1.0,Saints,Morten Andersen 53 yard field goal,6,0
2,1.0,Jets,Al Toon 16 yard pass from Ken O'Brien (Pat Leahy kick),6,7
3,2.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),6,14
4,2.0,Jets,Al Toon 62 yard pass from Ken O'Brien (Pat Leahy kick),6,21
5,3.0,Jets,Al Toon 6 yard pass from Ken O'Brien (Pat Leahy kick),6,28
6,4.0,Saints,John Tice 1 yard pass from Dave Wilson (Morten Andersen kick),13,28
7,4.0,Saints,John Tice 29 yard pass from Dave Wilson (Morten Andersen kick),20,28
8,4.0,Saints,Morten Andersen 28 yard field goal,23,28
