,Quarter,Tm,Detail,SDG,NYJ
0,1.0,Chargers,"Safety, Grossman tackled OBrien in end zone",2,0
1,1.0,Jets,Pat Leahy 22 yard field goal,2,3
2,2.0,Chargers,Anthony Miller 29 yard pass from Billy Joe Tolliver (John Carney kick),9,3
3,2.0,Chargers,Marion Butts 5 yard rush (John Carney kick),16,3
4,2.0,Chargers,John Carney 34 yard field goal,19,3
5,2.0,Chargers,John Carney 42 yard field goal,22,3
6,3.0,Chargers,Marion Butts 6 yard rush (John Carney kick),29,3
7,3.0,Chargers,John Carney 37 yard field goal,32,3
8,4.0,Chargers,Rod Bernstine 40 yard rush (John Carney kick),39,3
