,Quarter,Time,Tm,Detail,IND,TEN
0,1.0,7:01,Titans,Rob Bironas 51 yard field goal,0,3
1,2.0,9:52,Titans,Jason McCourty blocked punt recovery in end zone (Rob Bironas kick),0,10
2,2.0,2:31,Titans,Rob Bironas 50 yard field goal,0,13
3,2.0,0:22,Titans,Nate Washington 3 yard rush (Rob Bironas kick),0,20
4,3.0,7:41,Colts,Adam Vinatieri 22 yard field goal,3,20
5,4.0,13:29,Colts,Donald Brown 4 yard rush (Adam Vinatieri kick),10,20
6,4.0,5:20,Titans,Nate Washington 14 yard pass from Matt Hasselbeck (Rob Bironas kick),10,27
