,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Pete Gogolak 12 yard field goal,0,3
1,2.0,Cowboys,Bob Hayes 13 yard pass from Craig Morton (Mike Clark kick),7,3
2,3.0,Cowboys,Bob Hayes 63 yard punt return (Mike Clark kick),14,3
3,3.0,Cowboys,Craig Morton 1 yard rush (Mike Clark kick),21,3
4,4.0,Cowboys,Walt Garrison 8 yard rush (Mike Clark kick),28,3
5,4.0,Giants,Aaron Thomas 46 yard pass from Fran Tarkenton (Pete Gogolak kick),28,10
