,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,,Packers,Chris Jacke 20 yard field goal,3,0
1,2.0,,Packers,Desmond Howard 92 yard punt return (Chris Jacke kick),10,0
2,3.0,,Packers,Brett Favre 1 yard rush,16,0
3,3.0,,Lions,Jason Hanson 39 yard field goal,16,3
4,4.0,,Packers,Dorsey Levens 1 yard rush (Edgar Bennett pass from Brett Favre ),24,3
5,4.0,,Packers,Antonio Freeman 27 yard pass from Brett Favre (Chris Jacke kick),31,3
