,Quarter,Tm,Detail,BOS,PHI
0,1.0,Redskins,Riley Smith 34 yard field goal,3,0
1,1.0,Eagles,Hank Reese 35 yard field goal,3,3
2,2.0,Redskins,Cliff Battles 6 yard rush,10,3
3,3.0,Redskins,Cliff Battles 65 yard rush,17,3
4,4.0,Redskins,Ed Smith 12 yard field goal,20,3
5,4.0,Redskins,Pug Rentner 45 yard interception return,26,3
