,Quarter,Tm,Detail,DEN,PIT
0,2.0,Broncos,Steve Watson 21 yard pass from John Elway (Rich Karlis kick),7,0
1,3.0,Steelers,Gary Anderson 42 yard field goal,7,3
2,3.0,Broncos,Steve Sewell 34 yard pass from John Elway (Rich Karlis kick),14,3
3,4.0,Steelers,Rich Erenberg 7 yard rush (Gary Anderson kick),14,10
4,4.0,Broncos,Sammy Winder 13 yard pass from John Elway (Rich Karlis kick),21,10
