,Quarter,Time,Tm,Detail,SEA,CHI
0,2.0,10:20,Bears,Curtis Enis 2 yard rush (Brian Gowins kick),0,7
1,2.0,3:27,Bears,Brian Gowins 29 yard field goal,0,10
2,3.0,2:07,Bears,Brian Gowins 43 yard field goal,0,13
3,4.0,13:04,Seahawks,Derrick Mayes 34 yard pass from Glenn Foley (Todd Peterson kick),7,13
4,4.0,7:51,Seahawks,Fabien Bownes 49 yard pass from Glenn Foley (Todd Peterson kick),14,13
