,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Bert Zagers 4 yard rush (Sam Baker kick),7,0
1,1.0,Colts,Lenny Moore 12 yard rush (Steve Myhra kick),7,7
2,2.0,Colts,Raymond Berry 17 yard pass from Johnny Unitas (Steve Myhra kick),7,14
3,2.0,Colts,Alan Ameche 4 yard rush (Steve Myhra kick),7,21
4,3.0,Redskins,Sam Baker 31 yard field goal,10,21
5,3.0,Colts,Lenny Lyles 101 yard kickoff return (Steve Myhra kick),10,28
6,3.0,Colts,Raymond Berry 48 yard pass from Johnny Unitas (Steve Myhra kick),10,35
