,Quarter,Time,Tm,Detail,CLE,CHI
0,1.0,1:20,Bears,Jordan Howard 2 yard rush (Mike Nugent kick failed),0,6
1,2.0,0:01,Browns,Zane Gonzalez 48 yard field goal,3,6
2,3.0,12:23,Bears,Jordan Howard 16 yard rush (Mike Nugent kick),3,13
3,3.0,3:27,Bears,Mitchell Trubisky 4 yard rush (Mike Nugent kick),3,20
