,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Tillie Manton 23 yard field goal,0,3
1,4.0,Redskins,Wayne Millner unknown yard pass from Sammy Baugh,0,9
2,4.0,Redskins,Bob McChesney 52 yard pass from Sammy Baugh,0,15
