,Quarter,Tm,Detail,TAM,SFO
0,2.0,49ers,Roger Craig 2 yard rush (Ray Wersching kick),0,7
1,2.0,Buccaneers,Obed Ariri 27 yard field goal,3,7
2,2.0,49ers,Freddie Solomon 3 yard rush (Ray Wersching kick),3,14
3,2.0,Buccaneers,Jimmie Giles 9 yard pass from Steve DeBerg (Obed Ariri kick),10,14
4,3.0,49ers,Wendell Tyler 1 yard rush (Ray Wersching kick),10,21
5,4.0,Buccaneers,Gerald Carter 9 yard pass from Steve DeBerg (Obed Ariri kick),17,21
6,4.0,49ers,Ray Wersching 39 yard field goal,17,24
