,Quarter,Tm,Detail,PIT,OAK
0,1.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),0,7
1,2.0,Raiders,George Blanda 25 yard field goal,0,10
2,2.0,Steelers,Barry Pearson 4 yard pass from Terry Bradshaw (Roy Gerela kick),7,10
3,3.0,Raiders,George Blanda 31 yard field goal,7,13
4,3.0,Raiders,George Blanda 22 yard field goal,7,16
5,3.0,Raiders,Willie Brown 54 yard interception return (George Blanda kick),7,23
6,4.0,Raiders,George Blanda 10 yard field goal,7,26
7,4.0,Steelers,Frank Lewis 26 yard pass from Terry Bradshaw (Roy Gerela kick),14,26
8,4.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),14,33
