,Quarter,Time,Tm,Detail,TEN,KAN
0,1.0,11:43,Chiefs,Tyreek Hill 68 yard rush (Cairo Santos kick),0,7
1,1.0,4:24,Chiefs,Alex Smith 10 yard rush (Cairo Santos kick),0,14
2,2.0,11:58,Titans,Derrick Henry 4 yard rush (Ryan Succop kick),7,14
3,2.0,0:13,Chiefs,Cairo Santos 34 yard field goal,7,17
4,4.0,11:54,Titans,Ryan Succop 39 yard field goal,10,17
5,4.0,3:12,Titans,Derrick Henry 1 yard rush,16,17
6,4.0,0:00,Titans,Ryan Succop 53 yard field goal,19,17
