,Quarter,Time,Tm,Detail,CHI,PHI
0,1.0,9:18,Bears,Matt Spaeth 5 yard pass from Jay Cutler (Robbie Gould kick),7,0
1,2.0,7:27,Bears,Robbie Gould 51 yard field goal,10,0
2,2.0,2:04,Eagles,Alex Henery 47 yard field goal,10,3
3,2.0,1:38,Eagles,Brian Rolle 22 yard defensive fumble return (Alex Henery kick),10,10
4,2.0,0:43,Bears,Marion Barber III 2 yard rush (Robbie Gould kick),17,10
5,3.0,8:18,Eagles,Ronnie Brown 4 yard rush (Alex Henery kick),17,17
6,3.0,5:52,Eagles,LeSean McCoy 33 yard rush (Alex Henery kick),17,24
7,3.0,0:21,Bears,Robbie Gould 38 yard field goal,20,24
8,4.0,12:18,Bears,Earl Bennett 5 yard pass from Jay Cutler (Robbie Gould kick),27,24
9,4.0,3:58,Bears,Robbie Gould 22 yard field goal,30,24
