,Quarter,Tm,Detail,SFO,STL
0,1.0,49ers,Freddie Solomon 69 yard pass from Joe Montana (Ray Wersching kick),7,0
1,1.0,Cardinals,Pat Tilley 8 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,2.0,49ers,Freddie Solomon 28 yard pass from Joe Montana (Ray Wersching kick),14,7
3,2.0,49ers,Dwight Hicks 40 yard interception return (Ray Wersching kick),21,7
4,2.0,Cardinals,Neil O'Donoghue 43 yard field goal,21,10
5,3.0,49ers,Russ Francis 11 yard pass from Joe Montana (Ray Wersching kick),28,10
6,3.0,Cardinals,Wayne Morris 1 yard rush (Neil O'Donoghue kick),28,17
7,3.0,49ers,Tim Collier 32 yard interception return (Ray Wersching kick),35,17
8,3.0,Cardinals,Neil O'Donoghue 48 yard field goal,35,20
9,3.0,49ers,Wendell Tyler 15 yard rush (Ray Wersching kick),42,20
10,4.0,Cardinals,Randy Love 12 yard pass from Neil Lomax (Neil O'Donoghue kick),42,27
