,Quarter,Time,Tm,Detail,SEA,STL
0,1.0,11:37,Seahawks,"Safety,",2,0
1,1.0,3:05,Rams,Marshall Faulk 5 yard rush (Jeff Wilkins kick),2,7
2,1.0,1:10,Rams,Isaac Bruce 18 yard pass from Marc Bulger (Jeff Wilkins kick),2,14
3,2.0,7:53,Seahawks,Darrell Jackson 9 yard pass from Matt Hasselbeck (Josh Brown kick),9,14
4,2.0,5:06,Rams,Torry Holt 40 yard pass from Marc Bulger (Jeff Wilkins kick),9,21
5,2.0,0:18,Seahawks,Josh Brown 31 yard field goal,12,21
6,3.0,5:39,Seahawks,Josh Brown 38 yard field goal,15,21
7,4.0,14:18,Rams,Jeff Wilkins 33 yard field goal,15,24
8,4.0,10:18,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),22,24
9,4.0,1:37,Rams,Jeff Wilkins 46 yard field goal,22,27
