,Quarter,Tm,Detail,PIT,OAK
0,1.0,Raiders,Errol Mann 39 yard field goal,0,3
1,2.0,Raiders,Clarence Davis 1 yard rush (Errol Mann kick),0,10
2,2.0,Steelers,Reggie Harrison 3 yard rush (Ray Mansfield kick),7,10
3,2.0,Raiders,Warren Bankston 4 yard pass from Ken Stabler (Errol Mann kick),7,17
4,3.0,Raiders,Pete Banaszak 5 yard pass from Ken Stabler (Errol Mann kick),7,24
