,Quarter,Time,Tm,Detail,GNB,JAX
0,2.0,,Packers,Craig Hentrich 49 yard field goal,3,0
1,2.0,,Packers,Robert Brooks 6 yard pass from Brett Favre (Craig Hentrich kick),10,0
2,3.0,,Packers,Dorsey Levens 2 yard rush (Craig Hentrich kick),17,0
3,4.0,,Jaguars,Willie Jackson 8 yard pass from Mark Brunell (Mike Hollis kick),17,7
4,4.0,,Packers,Anthony Morgan 29 yard pass from Brett Favre (Craig Hentrich kick),24,7
5,4.0,,Jaguars,Willie Jackson 3 yard pass from Mark Brunell (Mike Hollis kick),24,14
