,Quarter,Tm,Detail,DAL,PHI
0,2.0,Cowboys,Rafael Septien 21 yard field goal,3,0
1,2.0,Eagles,Wilbert Montgomery 2 yard rush (Tony Franklin kick),3,7
2,3.0,Eagles,Harold Carmichael 85 yard pass from Ron Jaworski (Tony Franklin kick),3,14
3,4.0,Cowboys,Doug Cosbie 17 yard pass from Danny White (Rafael Septien kick),10,14
4,4.0,Cowboys,Tony Dorsett 9 yard rush (Rafael Septien kick),17,14
