,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Rob Moore 17 yard pass from Ken O'Brien (Pat Leahy kick),0,7
1,1.0,Dolphins,Pete Stoyanovich 33 yard field goal,3,7
2,2.0,Dolphins,Mark Duper 30 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,2.0,Jets,Brad Baxter 2 yard rush (Pat Leahy kick),10,14
4,2.0,Jets,Chris Burkett 11 yard blocked punt return (Pat Leahy kick),10,21
5,2.0,Dolphins,Pete Stoyanovich 53 yard field goal,13,21
6,3.0,Jets,Pat Leahy 25 yard field goal,13,24
7,3.0,Dolphins,Pete Stoyanovich 33 yard field goal,16,24
8,4.0,Jets,Brad Baxter 3 yard rush (Pat Leahy kick),16,31
9,4.0,Jets,Pat Leahy 27 yard field goal,16,34
10,4.0,Jets,Erik McMillan 83 yard interception return (Pat Leahy kick),16,41
11,4.0,Dolphins,Mark Clayton 10 yard pass from Scott Secules (Pete Stoyanovich kick),23,41
