,Quarter,Tm,Detail,RAM,MIN
0,2.0,Vikings,Jim Lash 29 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,2.0,Rams,David Ray 27 yard field goal,3,7
2,4.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),3,14
3,4.0,Rams,Harold Jackson 44 yard pass from James Harris (David Ray kick),10,14
