,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,8:44,Jets,John Hall 47 yard field goal,3,0
1,2.0,14:52,Jets,LaMont Jordan 25 yard pass from Vinny Testaverde (John Hall kick),10,0
2,2.0,10:27,Colts,Dominic Rhodes 46 yard rush (Mike Vanderjagt kick),10,7
3,2.0,1:13,Jets,John Hall 22 yard field goal,13,7
4,2.0,0:00,Colts,Mike Vanderjagt 50 yard field goal,13,10
5,3.0,9:53,Jets,John Hall 48 yard field goal,16,10
6,3.0,7:36,Colts,Marcus Pollard 28 yard pass from Peyton Manning (Mike Vanderjagt kick),16,17
7,3.0,4:42,Jets,John Hall 46 yard field goal,19,17
8,4.0,14:09,Jets,John Hall 24 yard field goal,22,17
9,4.0,9:59,Colts,Marvin Harrison 39 yard pass from Ken Dilger (Kevin McDougal run),22,25
10,4.0,2:48,Colts,Mike Vanderjagt 43 yard field goal,22,28
11,4.0,0:58,Jets,Anthony Becht 6 yard pass from Vinny Testaverde (John Hall kick),29,28
