,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Scott Laidlaw 2 yard pass from Roger Staubach (Efren Herrera kick),0,7
1,2.0,Cardinals,Steve Jones 5 yard rush (Jim Bakken kick),7,7
2,2.0,Cowboys,Roger Staubach 4 yard rush (Efren Herrera kick),7,14
3,4.0,Cowboys,Efren Herrera 42 yard field goal,7,17
4,4.0,Cowboys,"Safety, Henderson blocked punt out of end zone",7,19
5,4.0,Cardinals,Mel Gray 19 yard pass from Jim Hart (Jim Bakken kick),14,19
