,Quarter,Time,Tm,Detail,NYJ,SEA
0,1.0,,Jets,Adrian Murrell 2 yard rush (Nick Lowery kick),7,0
1,2.0,,Jets,Nick Lowery 38 yard field goal,10,0
2,2.0,,Jets,Nick Lowery 33 yard field goal,13,0
3,3.0,,Seahawks,Mack Strong 6 yard pass from Rick Mirer (Todd Peterson kick),13,7
4,3.0,,Seahawks,Todd Peterson 42 yard field goal,13,10
5,4.0,,Jets,Nick Lowery 41 yard field goal,16,10
