,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Ernie Pinckert 3 yard pass from Riley Smith,6,0
1,1.0,Pirates,Bill Davidson 68 yard rush (Izzy Weinstock kick),6,7
2,2.0,Pirates,"Safety, Mayhew tackled Baugh in end zone",6,9
3,3.0,Pirates,Armand Niccolai 21 yard field goal,6,12
4,4.0,Redskins,Ed Justice 40 yard pass from Sammy Baugh (Riley Smith kick),13,12
5,4.0,Pirates,Armand Niccolai 41 yard field goal,13,15
6,4.0,Pirates,Bull Karcis 21 yard rush,13,21
