,Quarter,Tm,Detail,IND,SEA
0,1.0,Seahawks,John Williams 6 yard rush (John Kasay kick),0,7
1,2.0,Seahawks,John Kasay 41 yard field goal,0,10
2,2.0,Seahawks,Chris Warren 59 yard punt return (John Kasay kick),0,17
3,2.0,Colts,Dean Biasucci 54 yard field goal,3,17
4,3.0,Seahawks,Tommy Kane 7 yard pass from Jeff Kemp (John Kasay kick),3,24
5,4.0,Seahawks,Derrick Fenner 10 yard rush (John Kasay kick),3,31
