,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Dave Green 23 yard field goal,0,3
1,2.0,Steelers,Roy Gerela 42 yard field goal,3,3
2,2.0,Steelers,Lynn Swann 37 yard pass from Terry Bradshaw (Roy Gerela kick),10,3
3,3.0,Steelers,Rocky Bleier 3 yard rush (Roy Gerela kick),17,3
4,3.0,Steelers,Lynn Swann 25 yard pass from Terry Bradshaw,23,3
5,4.0,Bengals,Charlie Joiner 34 yard pass from Ken Anderson (Dave Green kick),23,10
6,4.0,Bengals,Essex Johnson 3 yard pass from Ken Anderson (Dave Green kick),23,17
7,4.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),30,17
8,4.0,Bengals,Chip Myers 22 yard pass from Ken Anderson (Dave Green kick),30,24
