,Quarter,Tm,Detail,PIT,STL
0,1.0,Steelers,Mike Clark 11 yard field goal,3,0
1,2.0,Cardinals,Bill Triplett 3 yard rush (Jim Bakken kick),3,7
2,3.0,Cardinals,Sonny Randle 15 yard pass from Charley Johnson (Jim Bakken kick),3,14
3,4.0,Steelers,Roy Jefferson 50 yard pass from Bill Nelsen (Mike Clark kick),10,14
4,4.0,Steelers,Mike Lind 2 yard rush (Mike Clark kick),17,14
5,4.0,Cardinals,Billy Gambrell 59 yard pass from Charley Johnson (Jim Bakken kick),17,21
