,Quarter,Tm,Detail,PHI,ATL
0,1.0,Eagles,Gary Ballman 17 yard rush (Sam Baker kick),7,0
1,1.0,Eagles,Don Hultz 16 yard interception return (Sam Baker kick),14,0
2,1.0,Eagles,Sam Baker 34 yard field goal,17,0
3,1.0,Eagles,Mike Ditka 2 yard pass from Norm Snead (Sam Baker kick),24,0
4,3.0,Eagles,Gary Ballman 67 yard pass from Norm Snead (Sam Baker kick),31,0
5,4.0,Eagles,Tom Woodeshick 2 yard rush (Sam Baker kick),38,0
6,4.0,Falcons,Jerry Simmons 10 yard pass from Terry Nofsinger (Wade Traynham kick),38,7
