,Quarter,Tm,Detail,NYG,PRT
0,2.0,Spartans,Ace Gutowsky 1 yard rush (Glenn Presnell kick),0,7
1,3.0,Spartans,Glenn Presnell 55 yard rush (Glenn Presnell kick),0,14
2,3.0,Spartans,Glenn Presnell 25 yard field goal,0,17
3,4.0,Giants,Red Badgro 20 yard fumble return (Ken Strong kick),7,17
