,Quarter,Tm,Detail,HOU,MIN
0,1.0,Vikings,John Gilliam 80 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,1.0,Oilers,Skip Butler 29 yard field goal,3,7
2,1.0,Vikings,Fred Cox 42 yard field goal,3,10
3,1.0,Vikings,Stu Voigt 10 yard pass from Fran Tarkenton,3,16
4,2.0,Vikings,Ed Marinaro 1 yard rush (Fred Cox kick),3,23
5,2.0,Vikings,Chuck Foreman 6 yard rush (Fred Cox kick),3,30
6,3.0,Oilers,Vic Washington 2 yard rush (Skip Butler kick),10,30
7,3.0,Vikings,Chuck Foreman 24 yard pass from Fran Tarkenton (Fred Cox kick),10,37
8,4.0,Vikings,Steve Craig 10 yard pass from Bob Berry (Fred Cox kick),10,44
9,4.0,Vikings,Sam McCullum 20 yard pass from Bob Berry (Fred Cox kick),10,51
