,Quarter,Time,Tm,Detail,JAX,DAL
0,1,7:41,Cowboys,Jackie Harris 13 yard pass from Troy Aikman (Tim Seder kick),0,7
1,2,9:33,Jaguars,Mike Hollis 42 yard field goal,3,7
2,2,1:20,Jaguars,Kyle Brady 3 yard pass from Mark Brunell (Mike Hollis kick),10,7
3,2,0:09,Jaguars,Alvis Whitted 3 yard pass from Mark Brunell (Mike Hollis kick),17,7
4,3,7:01,Cowboys,Tim Seder 19 yard field goal,17,10
5,4,1:07,Cowboys,Randall Cunningham 1 yard rush (Tim Seder kick),17,17
6,OT,11:16,Jaguars,Alvis Whitted 37 yard pass from Mark Brunell,23,17
