,Quarter,Tm,Detail,DAL,WAS
0,1,Redskins,Mark Moseley 43 yard field goal,0,3
1,2,Cowboys,Preston Pearson 12 yard pass from Roger Staubach (Toni Fritsch kick),7,3
2,2,Cowboys,Drew Pearson 10 yard pass from Roger Staubach (Toni Fritsch kick),14,3
3,2,Redskins,Frank Grant 46 yard pass from Billy Kilmer (Mark Moseley kick),14,10
4,2,Cowboys,Toni Fritsch 33 yard field goal,17,10
5,3,Redskins,Charley Taylor 2 yard pass from Billy Kilmer (Mark Moseley kick),17,17
6,4,Cowboys,Cliff Harris 27 yard interception return (Toni Fritsch kick),24,17
7,4,Redskins,Jerry Smith 7 yard pass from Billy Kilmer (Mark Moseley kick),24,24
8,OT,Redskins,Billy Kilmer 1 yard rush,24,30
