,Quarter,Tm,Detail,CHI,WAS
0,1.0,Bears,John Hoffman 34 yard rush (George Blanda kick),7,0
1,2.0,Bears,George Blanda 37 yard field goal,10,0
2,2.0,Redskins,Charlie Justice 32 yard pass from Jack Scarbath (Bill Dudley kick),10,7
3,2.0,Bears,George Blanda 27 yard field goal,13,7
4,2.0,Redskins,Hugh Taylor 71 yard pass from Jack Scarbath (Bill Dudley kick),13,14
5,3.0,Redskins,Leon Heath 2 yard rush (Bill Dudley kick),13,21
6,3.0,Bears,John Hoffman 1 yard rush (George Blanda kick),20,21
7,3.0,Redskins,Bill Dudley 36 yard field goal,20,24
8,4.0,Bears,Eddie Macon 10 yard pass from George Blanda (George Blanda kick),27,24
