,Quarter,Time,Tm,Detail,CIN,BAL
0,2.0,,Bengals,Carl Pickens 8 yard pass from Jeff Blake (Doug Pelfrey kick),7,0
1,2.0,,Ravens,Matt Stover 37 yard field goal,7,3
2,2.0,,Bengals,Doug Pelfrey 46 yard field goal,10,3
3,3.0,,Ravens,Matt Stover 32 yard field goal,10,6
4,3.0,,Ravens,Jay Graham 5 yard rush (Matt Stover kick),10,13
5,4.0,,Ravens,Eric Green 18 yard pass from Vinny Testaverde (Matt Stover kick),10,20
6,4.0,,Ravens,Matt Stover 41 yard field goal,10,23
