,Quarter,Tm,Detail,CLE,WAS
0,2.0,Browns,Jim Brown 25 yard rush (Sam Baker kick),7,0
1,2.0,Redskins,Bob Khayat 12 yard field goal,7,3
2,2.0,Browns,Ray Renfro 23 yard pass from Bobby Mitchell (Sam Baker kick),14,3
3,3.0,Browns,Gern Nagler 53 yard pass from Milt Plum (Sam Baker kick),21,3
4,3.0,Browns,Sam Baker 21 yard field goal,24,3
5,3.0,Browns,Bobby Mitchell 3 yard rush (Sam Baker kick),31,3
6,4.0,Redskins,Don Bosseler 1 yard rush (Bob Khayat kick),31,10
