,Quarter,Time,Tm,Detail,CIN,CLE
0,1.0,11:00,Bengals,Randy Bullock 34 yard field goal,3,0
1,1.0,5:46,Browns,Denzel Ward 61 yard interception return (Austin Seibert kick),3,7
2,1.0,1:41,Bengals,Randy Bullock 44 yard field goal,6,7
3,2.0,12:10,Bengals,Joe Mixon 1 yard rush (Randy Bullock kick),13,7
4,2.0,6:44,Browns,Baker Mayfield 7 yard rush (Austin Seibert kick),13,14
5,3.0,12:14,Browns,Kareem Hunt 3 yard rush (Austin Seibert kick),13,21
6,3.0,4:43,Bengals,Randy Bullock 28 yard field goal,16,21
7,3.0,0:20,Browns,Austin Seibert 53 yard field goal,16,24
8,4.0,1:09,Browns,Austin Seibert 31 yard field goal,16,27
9,4.0,0:16,Bengals,Randy Bullock 46 yard field goal,19,27
