,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Bruce Gossett 48 yard field goal,0,3
1,1.0,Rams,Bruce Gossett 42 yard field goal,0,6
2,2.0,Vikings,Fred Cox 36 yard field goal,3,6
3,2.0,Rams,Bruce Gossett 10 yard field goal,3,9
4,4.0,Rams,Bruce Gossett 21 yard field goal,3,12
5,4.0,Vikings,Fred Cox 44 yard field goal,6,12
6,4.0,Rams,Billy Truax offensive fumble recovery in end zone (Bruce Gossett kick),6,19
7,4.0,Rams,"Safety, Grier tackled Tarkenton in end zone",6,21
