,Quarter,Tm,Detail,MIA,NYJ
0,1,Dolphins,Willie Beecher 19 yard field goal,3,0
1,1,Dolphins,Willie Smith 5 yard pass from Kyle Mackey (Willie Beecher kick),10,0
2,2,Jets,Michael Harper 35 yard pass from Pat Ryan (Pat Ragusa kick),10,7
3,2,Jets,Eddie Hunter 7 yard pass from Pat Ryan (Pat Ragusa kick),10,14
4,2,Jets,Pat Ragusa 34 yard field goal,10,17
5,3,Dolphins,Kyle Mackey 1 yard rush (Willie Beecher kick),17,17
6,4,Jets,Dennis Bligen 7 yard rush (Pat Ragusa kick),17,24
7,4,Jets,Stan Hunter 5 yard pass from Pat Ryan (Pat Ragusa kick),17,31
8,4,Dolphins,Kyle Mackey 5 yard rush (Willie Beecher kick),24,31
9,4,Dolphins,David Lewis 1 yard pass from Kyle Mackey (Willie Beecher kick),31,31
10,OT,Jets,Eddie Hunter 8 yard pass from Pat Ryan,31,37
