,Quarter,Time,Tm,Detail,BAL,GNB
0,1.0,,Packers,Roell Preston 71 yard punt return (Ryan Longwell kick),0,7
1,1.0,,Packers,Antonio Freeman 4 yard pass from Brett Favre (Ryan Longwell kick),0,14
2,3.0,,Packers,Robert Brooks 28 yard pass from Brett Favre (Ryan Longwell kick),0,21
3,3.0,,Ravens,Matt Stover 38 yard field goal,3,21
4,3.0,,Packers,Brett Favre 4 yard rush (Ryan Longwell kick),3,28
5,4.0,,Ravens,Jermaine Lewis 46 yard pass from Jim Harbaugh (Matt Stover kick),10,28
