,Quarter,Tm,Detail,PHI,HOU
0,1.0,Eagles,Tom Dempsey 33 yard field goal,3,0
1,1.0,Eagles,Tom Dempsey 52 yard field goal,6,0
2,2.0,Oilers,Skip Butler 38 yard field goal,6,3
3,2.0,Eagles,Tom Dempsey 22 yard field goal,9,3
4,2.0,Eagles,Tom Dempsey 12 yard field goal,12,3
5,2.0,Eagles,Tom Dempsey 38 yard field goal,15,3
6,3.0,Oilers,Dan Pastorini 1 yard rush (Skip Butler kick),15,10
7,4.0,Eagles,Tom Dempsey 20 yard field goal,18,10
8,4.0,Oilers,Paul Robinson 30 yard rush (Skip Butler kick),18,17
