,Quarter,Tm,Detail,HOU,CIN
0,1.0,Oilers,Roy Gerela 28 yard field goal,3,0
1,2.0,Bengals,Horst Muhlmann 51 yard field goal,3,3
2,3.0,Bengals,Bob Trumpy 35 yard pass from Virgil Carter (Horst Muhlmann kick),3,10
3,3.0,Oilers,Woody Campbell 6 yard rush (Roy Gerela kick),10,10
4,4.0,Bengals,Horst Muhlmann 36 yard field goal,10,13
5,4.0,Oilers,Alvin Reed 28 yard pass from Charley Johnson (Roy Gerela kick),17,13
6,4.0,Oilers,Roy Gerela 37 yard field goal,20,13
