,Quarter,Tm,Detail,CHI,SDG
0,2.0,Chargers,Rolf Benirschke 48 yard field goal,0,3
1,2.0,Chargers,Rolf Benirschke 27 yard field goal,0,6
2,3.0,Bears,Walter Payton 10 yard rush (Bob Thomas kick),7,6
3,4.0,Chargers,Bobby Duckworth 88 yard pass from Ed Luther (Rolf Benirschke kick),7,13
4,4.0,Chargers,Lee Williams 66 yard interception return (Rolf Benirschke kick),7,20
