,Quarter,Tm,Detail,CRD,BKN
0,1.0,Cardinals,Bill Smith 22 yard field goal,3,0
1,2.0,Cardinals,Dave Cook 22 yard rush,9,0
2,2.0,Dodgers,Jack Grossman 19 yard rush (Ralph Kercheval kick),9,7
3,3.0,Cardinals,Bill Smith 44 yard field goal,12,7
4,4.0,Dodgers,Red Franklin 6 yard rush (Jack Grossman kick),12,14
