,Quarter,Tm,Detail,PHI,CLE
0,2.0,Browns,Don Cockroft 32 yard field goal,0,3
1,2.0,Browns,Reggie Rucker 20 yard pass from Brian Sipe (Don Cockroft kick),0,10
2,3.0,Eagles,Horst Muhlmann 33 yard field goal,3,10
3,4.0,Browns,Paul Warfield 9 yard pass from Brian Sipe (Don Cockroft kick),3,17
4,4.0,Browns,Ron Bolton 37 yard interception return (Don Cockroft kick),3,24
