,Quarter,Tm,Detail,KAN,CLE
0,1.0,Chiefs,Willie Frazier 3 yard pass from Mike Livingston (Jan Stenerud kick),7,0
1,2.0,Chiefs,Morris Stroud 8 yard pass from Mike Livingston (Jan Stenerud kick),14,0
2,2.0,Browns,Fair Hooker 16 yard pass from Mike Phipps (Don Cockroft kick),14,7
3,2.0,Chiefs,Otis Taylor 34 yard pass from Mike Livingston (Jan Stenerud kick),21,7
4,3.0,Chiefs,Mike Adamle 1 yard rush (Jan Stenerud kick),28,7
5,4.0,Chiefs,Jan Stenerud 34 yard field goal,31,7
