,Quarter,Tm,Detail,SIS,FRN
0,1,Yellow Jackets,Two-Bits Homan 10 yard pass from Ken Mercer,0,6
1,2,Stapletons,Tom Leary 12 yard pass from Doug Wycoff,6,6
