,Quarter,Tm,Detail,PIT,CRD
0,1.0,Steelers,Tad Weed 30 yard field goal,3,0
1,1.0,Cardinals,Pat Summerall 21 yard field goal,3,3
2,1.0,Cardinals,Pat Summerall 26 yard interception return (Pat Summerall kick),3,10
3,2.0,Steelers,Tad Weed 23 yard field goal,6,10
4,2.0,Steelers,Ray Mathews 21 yard pass from Jim Finks (Tad Weed kick),13,10
5,2.0,Cardinals,Gern Nagler 34 yard pass from Lamar McHan (Pat Summerall kick),13,17
6,2.0,Cardinals,Dave Mann 18 yard pass from Lamar McHan (Pat Summerall kick),13,24
7,3.0,Cardinals,Pat Summerall 34 yard field goal,13,27
