,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,9:32,Colts,Marcus Pollard 5 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,1.0,4:23,Patriots,Adam Vinatieri 28 yard field goal,3,7
2,2.0,5:39,Patriots,Adam Vinatieri 28 yard field goal,6,7
3,2.0,2:57,Colts,Edgerrin James 2 yard pass from Peyton Manning (Mike Vanderjagt kick),6,14
4,3.0,10:49,Colts,Mike Vanderjagt 28 yard field goal,6,17
5,3.0,4:14,Colts,Mike Vanderjagt 31 yard field goal,6,20
6,3.0,0:55,Patriots,Adam Vinatieri 26 yard field goal,9,20
7,4.0,3:07,Patriots,Shawn Jefferson 10 yard pass from Drew Bledsoe (pass failed),15,20
