,Quarter,Time,Tm,Detail,TAM,DET
0,1.0,10:43,Buccaneers,Martin Gramatica 20 yard field goal,3,0
1,2.0,14:17,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),10,0
2,2.0,11:24,Lions,Bill Schroeder 18 yard pass from Mike McMahon (Jason Hanson kick),10,7
3,2.0,5:35,Lions,Jason Hanson 37 yard field goal,10,10
4,2.0,0:17,Buccaneers,Martin Gramatica 28 yard field goal,13,10
5,3.0,12:02,Lions,Jason Hanson 25 yard field goal,13,13
6,4.0,10:08,Buccaneers,Michael Pittman 4 yard rush (Martin Gramatica kick),20,13
7,4.0,9:44,Lions,Mike McMahon 2 yard rush (Jason Hanson kick),20,20
8,4.0,3:04,Buccaneers,Martin Gramatica 38 yard field goal,23,20
